,DAY,FLAG_TSUNAMI,I_D,LATITUDE,LONGITUDE,MONTH,REGION_CODE,TYPE,YEAR,REL_EQ,ANOMALY?
0,,,1,  31.100,   35.500,,140.0,eq,-2150.0,0,0
1,,Tsu,2,  35.683,   35.800,,130.0,eq,-2000.0,1,2
2,,,3,  38.000,   58.200,,40.0,eq,-2000.0,2,0
3,,tsu,11014,35.583,35.75,,130.0,tsu,-2000.0,2,1
4,,Tsu,5877,  36.400,   25.400,,130.0,eq,-1610.0,4,0
5,,tsu,17601,35.583,35.75,,130.0,tsu,-1610.0,4,0
6,,tsu,1,35.5,25.0,,130.0,tsu,-1610.0,4,0
7,,,8,  31.500,   35.300,,140.0,eq,-1566.0,7,0
8,,,11,  35.500,   25.500,,130.0,eq,-1450.0,8,0
9,,Tsu,9712,  35.683,   35.800,,140.0,eq,-1365.0,9,2
10,,,12,  32.000,   35.500,,140.0,eq,-1250.0,10,0
11,,,13,  29.600,   35.000,,140.0,eq,-1050.0,11,0
12,,,14,  33.000,   35.500,,140.0,eq,-759.0,12,0
13,,Tsu,7793,  33.270,   35.220,,140.0,eq,-590.0,13,2
14,,,16,  37.000,   22.500,,130.0,eq,-550.0,14,0
15,,Tsu,7794,  33.560,   35.370,,140.0,eq,-525.0,15,2
16,29.0,Tsu,9713,  37.900,   23.500,9.0,130.0,eq,-480.0,16,2
17,,Tsu,17,  39.700,   23.300,,130.0,eq,-479.0,17,0
18,,tsu,2,40.3,23.33,,130.0,tsu,-479.0,17,0
19,,,18,  37.000,   22.500,,130.0,eq,-432.0,19,0
20,,Tsu,5878,  38.900,   22.700,6.0,130.0,eq,-426.0,20,0
21,,tsu,7,38.633,23.0833,6.0,130.0,tsu,-426.0,20,0
22,,tsu,6,39.12,23.72,6.0,130.0,tsu,-426.0,20,0
23,,tsu,4,40.173,22.487,6.0,130.0,tsu,-426.0,20,0
24,,tsu,17612,38.817,22.733,6.0,130.0,tsu,-426.0,20,0
