	I_D	TSEVENT_ID	YEAR_x	MONTH_x	DAY_x	DOUBTFUL	COUNTRY_x	STATE_x	LOCATION_NAME_x	LATITUDE_x	LONGITUDE_x	REGION_CODE_x	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS_x	DEATHS_DESCRIPTION_x	INJURIES_x	INJURIES_DESCRIPTION_x	DAMAGE_MILLIONS_DOLLARS_x	DAMAGE_DESCRIPTION_x	HOUSES_DAMAGED_x	HOUSES_DAMAGED_DESCRIPTION_x	HOUSES_DESTROYED_x	HOUSES_DESTROYED_DESCRIPTION_x	COORDS	ID	YEAR_y	MONTH_y	DAY_y	HOUR	MINUTE	SECOND	VENT_VALIDITY	CAUSE_CODE	FOCAL_DEPTH	PRIMARY_MAGNITUDE	COUNTRY_y	STATE_y	LOCATION_NAME_y	LATITUDE_y	LONGITUDE_y	REGION_CODE_y	MAXIMUM_WATER_HEIGHT	ABE	IIDA	SOLOVIEV	WARNING_STATUS	DEATHS_y	DEATHS_DESCRIPTION_y	MISSING	MISSING_DESCRIPTION	INJURIES_y	INJURIES_DESCRIPTION_y	DAMAGE_MILLIONS_DOLLARS_y	DAMAGE_DESCRIPTION_y	HOUSES_DESTROYED_y	HOUSES_DESTROYED_DESCRIPTION_y	HOUSES_DAMAGED_y	HOUSES_DAMAGED_DESCRIPTION_y	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
0	1	3.0	-1610.0				GREECE		N. AND E. COAST CRETE	35.5	25.0	50.0	106.0					1.0				3.0				3.0					(35.5, 25.0)	3642	1810	2.0	16.0				0.0	1.0			GREECE		CRETE	35.5	25.0	50																													
1	178	269.0	1650.0	9.0	29.0		GREECE		CRETE	35.5	25.0	50.0	107.0					1.0													(35.5, 25.0)	3642	1810	2.0	16.0				0.0	1.0			GREECE		CRETE	35.5	25.0	50																													
2	3027	1779.0	1948.0	2.0	9.0		GREECE		KARPATHOS, CRETE	35.5	25.0	50.0	199.0			2.5		1.0								1.0					(35.5, 25.0)	3642	1810	2.0	16.0				0.0	1.0			GREECE		CRETE	35.5	25.0	50																													
3	10864	3427.0	258.0				ITALY		ROME	41.9	12.45	50.0	0.0					7.0													(41.899999999999999, 12.449999999999999)	3427	258						0.0	1.0			ITALY		TYRRHENIAN SEA	41.9	12.45	50				4.0																					3.0	1001.0	4.0		
4	10865	34.0	342.0	7.0			GREECE		THRACE	41.3	19.5	50.0						1.0													(41.299999999999997, 19.5)	3714	-58						2.0	1.0		6.6	ALBANIA		ALBANIA	41.3	19.5	50				3.0																									
5	10865	34.0	342.0	7.0			GREECE		THRACE	41.3	19.5	50.0						1.0													(41.299999999999997, 19.5)	3479	1270	3.0					3.0	1.0			GREECE		IONIAN SEA	41.3	19.5	50				3.0																									
6	38	56.0	740.0	10.0	26.0		TURKEY		THRACIAN COAST	41.0	29.0	50.0	42.0					1.0													(41.0, 29.0)	2315	407	4.0	1.0				1.0	1.0		6.6	TURKEY		MARMARA SEA	41.0	29.0	50				4.0									1.0												1.0				
7	10877	71.0	859.0				TURKEY		SAMANDAGI	36.08	36.25	50.0	0.0					1.0													(36.079999999999998, 36.25)	71	859						2.0	1.0			TURKEY		SAMANDAGI	36.08	36.25	50				3.0																									
8	10214	72.0	863.0	7.0	10.0		JAPAN	NIIGATA	NAOETSUKO	37.1	138.0	85.0	0.0					1.0													(37.100000000000001, 138.0)	72	863	7.0	10.0				4.0	3.0		7.0	JAPAN		NW. HONSHU ISLAND	37.1	138.0	85			2.0	2.0															3.0						3.0		3.0		
9	10224	79.0	922.0				JAPAN	MIE	KUMAMONADA	33.8	136.7	85.0	0.0			2.0		1.0													(33.799999999999997, 136.69999999999999)	55	704	8.0	2.0				4.0	1.0		7.0	JAPAN		KUMANONADA	33.8	136.7	85			2.0	2.0																									
10	10224	79.0	922.0				JAPAN	MIE	KUMAMONADA	33.8	136.7	85.0	0.0			2.0		1.0													(33.799999999999997, 136.69999999999999)	79	922						4.0	1.0		7.0	JAPAN		KUMANONADA	33.8	136.7	85	2.0		1.0	1.0																									
11	10878	3429.0	963.0	7.0	22.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	0.0					1.0				4.0									(38.0, 15.0)	3097	177						2.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50				6.0									2.0												2.0				
12	10878	3429.0	963.0	7.0	22.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	0.0					1.0				4.0									(38.0, 15.0)	3429	963	7.0	22.0				3.0	1.0			ITALY		SICILY	38.0	15.0	50				5.0			4.0												4.0										
13	10878	3429.0	963.0	7.0	22.0		ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	0.0					1.0				4.0									(38.0, 15.0)	3108	1172						3.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50							3.0												3.0										
14	10900	3108.0	1172.0				ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.0	15.0	50.0	0.0					1.0				3.0									(38.0, 15.0)	3097	177						2.0	1.0			ITALY		ISLAND OF SICILY	38.0	15.0	50				6.0									2.0												2.0				
