	I_D	TSEVENT_ID	YEAR	MONTH	DAY	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	COORDS
0	11014	1.0	-2000.0				SYRIA		UGARIT	35.583	35.75	50.0	12.0					1.0				3.0				4.0					(35.582999999999998, 35.75)
1	17601	3.0	-1610.0				SYRIA		UGARIT	35.583	35.75	50.0	935.0					1.0				3.0				3.0					(35.582999999999998, 35.75)
2	1	3.0	-1610.0				GREECE		N. AND E. COAST CRETE	35.5	25.0	50.0	106.0					1.0				3.0				3.0					(35.5, 25.0)
3	2	9.0	-479.0				GREECE		POTIDAEA, MACEDONIA	40.3	23.33	50.0	67.0					1.0				3.0									(40.299999999999997, 23.329999999999998)
4	7	10.0	-426.0	6.0			GREECE		OPOUS	38.633	23.0833	50.0	45.0				800.0	1.0													(38.633000000000003, 23.083300000000001)
5	19364	10.0	-426.0	6.0			GREECE		TARFI			50.0						1.0													(nan, nan)
6	6	10.0	-426.0	6.0			GREECE		SKOPELOS	39.12	23.72	50.0	91.0					1.0													(39.119999999999997, 23.719999999999999)
7	4	10.0	-426.0	6.0			GREECE		CENEUM	40.173	22.487	50.0	143.0					1.0													(40.173000000000002, 22.486999999999998)
8	17612	10.0	-426.0	6.0			GREECE		THRONIUM	38.817	22.733	50.0	10.0					1.0								3.0					(38.817, 22.733000000000001)
9	3	10.0	-426.0	6.0			GREECE		ATALANTI	38.650999999999996	22.999000000000002	50.0	38.0					1.0								1.0					(38.650999999999996, 22.999000000000002)
10	5	10.0	-426.0	6.0			GREECE		DAPHNUS	38.0	23.68	50.0	132.0					1.0													(38.0, 23.68)
11	19365	10.0	-426.0	6.0			GREECE		THERMOPLYLES	38.8	22.55	50.0	17.0					1.0													(38.799999999999997, 22.550000000000001)
12	17613	10.0	-426.0	6.0			GREECE		LICHADES ISLAND	38.815	22.816	50.0	14.0					1.0													(38.814999999999998, 22.815999999999999)
13	17611	10.0	-426.0	6.0			GREECE		OROBIES	38.817	23.233	50.0	47.0				5000.0	1.0				3.0				3.0					(38.817, 23.233000000000001)
14	8	11.0	-373.0				GREECE		HELICE, PELOPONNESUS	38.21	22.13	50.0	11.0					1.0				3.0				3.0				3.0	(38.210000000000001, 22.129999999999999)
15	17621	3092.0	-227.0				GREECE		ISLAND OF RHODES	36.167	28.0	50.0	31.0					1.0								1.0					(36.167000000000002, 28.0)
16	17622	5382.0	-218.0				SPAIN		CADIZ	36.533	-6.3	73.0	86.0					1.0													(36.533000000000001, -6.2999999999999998)
17	17623	4281.0	-210.0				SPAIN		CADIZ	36.533	-6.3	73.0	381.0					1.0													(36.533000000000001, -6.2999999999999998)
